fruits,vegetables,meat,poultry,seafood,grain,nuts,dairy
acai berries,amaranth leaves,beef,chicken,black sea bass,amaranth,almonds,buttermilk
blackberries,arugula,goat,Cornish hen,catfish,barley,almond butter,fat-free (skim) milk
blueberries,basil,ham,dove,cod,brown rice,Brazil nuts,flavored milks
boysenberries,beet greens,lamb,duck,flounder,buckwheat,cashew butter,lactose-free milks
cranberries,bitter melon leaves,pork,goose,freshwater trout,bulgur ,cashews,low fat (1%) milk
currants,bok choy,bear,ostrich,haddock,dark rye,chestnuts,reduced fat (2%) milk
dewberries,broccoli,bison,pheasant,hake,injera,chia seeds,whole milk
goji berries,broccoli rabe (rapini),deer,quail,halibut,kamut,flax seeds,frozen yogurt
gooseberries,broccolini,elk,turkey,herring,millet,hazelnuts (filberts),ice milk
huckleberries,chamnamul,moose,,light tuna,muesli,macadamia nuts,ice cream
kiwifruit,chard,opossum,,mackerel,oatmeal,mixed nuts,lassi
lingonberries,chrysanthemum leaves,rabbit,,mullet,oats,peanut butter,puddings
loganberries,cilantro,raccoon,,perch,popcorn,peanuts,sherbet
mulberries,collard greens,squirrel,,pollock,quinoa,pecans,smoothies
raspberries,cress,venison,,salmon,rolled oats,pine nuts,kefir
strawberries,dandelion greens,brain,,sea bass,sorghum,pistachios,cheddar
acai berry,dark-green leafy lettuce,chitterlings,,snapper,spelt,pumpkin seeds,Gouda
blackberry,endive,giblets,,sole,teff,sesame butter or paste (tahini),mozzarella
blueberry,escarole,gizzard,,sushi,triticale,sesame seeds,muenster
boysenberry,kale,heart,,tilapia,whole grain barley,sunflower butter,parmesan
cranberry,lambsquarters,kidney,,whiting,whole grain cornmeal,sunflower seeds,provolone
currant,mesclun,liver,,clams,whole grain sorghum,walnuts,Romano
dewberry,mixed greens,stomach,,crab,whole rye,,Swiss
goji berry,mustard greens,sweetbreads,,crayfish,whole wheat bread,,brie
gooseberry,nettles,tongue,,lobster,whole wheat cereal flakes,,camembert
huckleberry,poke greens,tripe,,mussels,whole wheat chapati,,cottage cheese
kiwifruit,romaine lettuce,,,octopus,whole wheat crackers,,feta
lingonberry,spinach,,,oysters,whole wheat pasta,,ricotta
loganberry,Swiss chard,,,scallops,whole wheat sandwich buns and rolls,,American
mulberry,taro leaves,,,shrimp,whole wheat tortillas,,queso blanco
raspberry,turnip greens,,,squid,wild rice,,queso fresco
strawberry,watercress,,,anchovies,bagels,,
cantaloupe,acorn squash,,,freshwater trout,biscuits,,
casaba,butternut squash,,,herring,breadcrumbs,,
honeydew,calabaza,,,light tuna,cakes,,
horned melon (kiwano),carrots,,,salmon,challah bread,,
watermelon,hubbard squash,,,sardines,cookies,,
apples,kabocha squash,,,chicken eggs,corn flakes,,
apricots,pimento,,,duck eggs,corn tortillas,,
Asian pears,pumpkin,,,,cornbread,,
atemoya,bell peppers,,,,couscous,,
bananas,red chili peppers,,,,"crackers, saltine",,
Buddha’s hand,"red peppers, sweet",,,,cream of rice,,
cactus pears,sweet potatoes,,,,cream of wheat,,
calamondin,tomatoes,,,,English muffins,,
cherimoya,winter squash,,,,flour tortilla,,
cherries,bayo beans,,,,French bread,,
dates,bean burger,,,,grits,,
dragon fruit,black beans,,,,masa,,
durian,black-eyed peas ,,,,matzo,,
feijoas,brown beans,,,,naan,,
figs,chickpeas ,,,,noodles,,
fruit cocktail,cow peas,,,,pancakes,,
grapefruit,edamame ,,,,"pasta (spaghetti, macaroni)",,
grapes,falafel ,,,,pie/pastry crusts,,
guava,fava beans ,,,,pita bread,,
jackfruit,hummus,,,,pizza crust,,
kumquats,kidney beans,,,,polenta,,
lemons,lentils,,,,pretzels,,
limes,lima beans,,,,ramen noodles,,
loquats,mung beans,,,,refined-grain cereals,,
lychee,navy beans,,,,refined-grain crackers,,
mangoes,pigeon peas,,,,rice cakes,,
